claimed_expenses,wire_transfer,month,total_expenses,type,id,name
605533,252440,33,583810,D,105,VILLAROSA Alessio Mattia
858544,237249,32,858544,D,105,VILLAROSA Alessio Mattia
725378,337941,31,714550,D,105,VILLAROSA Alessio Mattia
828715,219684,30,813903,D,105,VILLAROSA Alessio Mattia
1004015,188297,29,990496,D,105,VILLAROSA Alessio Mattia
749231,609222,28,734260,D,105,VILLAROSA Alessio Mattia
529532,283591,27,515033,D,105,VILLAROSA Alessio Mattia
604467,211856,26,584361,D,105,VILLAROSA Alessio Mattia
775461,253695,25,762650,D,105,VILLAROSA Alessio Mattia
706164,322301,24,692286,D,105,VILLAROSA Alessio Mattia
778648,184490,23,757478,D,105,VILLAROSA Alessio Mattia
699471,499468,22,683669,D,105,VILLAROSA Alessio Mattia
585454,157466,21,564444,D,105,VILLAROSA Alessio Mattia
622680,327896,20,622680,D,105,VILLAROSA Alessio Mattia
667402,422538,19,649882,D,105,VILLAROSA Alessio Mattia
662383,173812,18,643363,D,105,VILLAROSA Alessio Mattia
702709,319383,17,692389,D,105,VILLAROSA Alessio Mattia
709190,692183,16,687580,D,105,VILLAROSA Alessio Mattia
647446,290968,15,624666,D,105,VILLAROSA Alessio Mattia
598563,474558,14,578433,D,105,VILLAROSA Alessio Mattia
799347,842635,13,781007,D,105,VILLAROSA Alessio Mattia
737229,314848,12,737229,D,105,VILLAROSA Alessio Mattia
698796,241392,11,698796,D,105,VILLAROSA Alessio Mattia
640511,343529,10,640511,D,105,VILLAROSA Alessio Mattia
679561,317870,9,679561,D,105,VILLAROSA Alessio Mattia
390231,344564,8,390231,D,105,VILLAROSA Alessio Mattia
617207,272664,7,617207,D,105,VILLAROSA Alessio Mattia
625449,337940,6,625449,D,105,VILLAROSA Alessio Mattia
579050,338000,5,579050,D,105,VILLAROSA Alessio Mattia
467675,977240,4,467675,D,105,VILLAROSA Alessio Mattia
,,60,,D,104,VIGNAROLI Stefano
,,59,,D,104,VIGNAROLI Stefano
835794,240587,58,832795,D,104,VIGNAROLI Stefano
598122,312074,53,593350,D,104,VIGNAROLI Stefano
625967,284229,51,624758,D,104,VIGNAROLI Stefano
688577,221619,56,688577,D,104,VIGNAROLI Stefano
700166,210030,54,696750,D,104,VIGNAROLI Stefano
653651,256545,57,648682,D,104,VIGNAROLI Stefano
794875,281506,55,790491,D,104,VIGNAROLI Stefano
721560,451187,50,720620,D,104,VIGNAROLI Stefano
769307,307074,52,768758,D,104,VIGNAROLI Stefano
840396,251222,49,839474,D,104,VIGNAROLI Stefano
706625,248808,48,705785,D,104,VIGNAROLI Stefano
651162,314850,47,648829,D,104,VIGNAROLI Stefano
841195,234993,46,836631,D,104,VIGNAROLI Stefano
653792,226211,45,648084,D,104,VIGNAROLI Stefano
629116,230229,44,629116,D,104,VIGNAROLI Stefano
839624,236564,43,836490,D,104,VIGNAROLI Stefano
658786,230559,42,655194,D,104,VIGNAROLI Stefano
691580,218423,41,690086,D,104,VIGNAROLI Stefano
844374,231814,40,840051,D,104,VIGNAROLI Stefano
598570,248726,39,595012,D,104,VIGNAROLI Stefano
779028,237542,38,774375,D,104,VIGNAROLI Stefano
944602,236122,37,941837,D,104,VIGNAROLI Stefano
623188,313095,36,617655,D,104,VIGNAROLI Stefano
691594,227675,35,685990,D,104,VIGNAROLI Stefano
800188,219057,34,796745,D,104,VIGNAROLI Stefano
785538,335686,33,774967,D,104,VIGNAROLI Stefano
558176,319795,32,558176,D,104,VIGNAROLI Stefano
656763,284103,31,655092,D,104,VIGNAROLI Stefano
704038,215249,30,700921,D,104,VIGNAROLI Stefano
577005,342282,29,573104,D,104,VIGNAROLI Stefano
707478,316020,28,703561,D,104,VIGNAROLI Stefano
651568,267719,27,648716,D,104,VIGNAROLI Stefano
681137,341510,26,677579,D,104,VIGNAROLI Stefano
861365,237245,25,860114,D,104,VIGNAROLI Stefano
603506,325014,24,599791,D,104,VIGNAROLI Stefano
613172,304209,23,607135,D,104,VIGNAROLI Stefano
579581,475839,22,572774,D,104,VIGNAROLI Stefano
547192,267560,21,534505,D,104,VIGNAROLI Stefano
600060,188885,20,600060,D,104,VIGNAROLI Stefano
661471,277252,19,659041,D,104,VIGNAROLI Stefano
591909,152269,18,588209,D,104,VIGNAROLI Stefano
558425,385114,17,551945,D,104,VIGNAROLI Stefano
518991,471168,16,505071,D,104,VIGNAROLI Stefano
528670,339217,15,519480,D,104,VIGNAROLI Stefano
616444,619956,14,608394,D,104,VIGNAROLI Stefano
464843,906127,13,459463,D,104,VIGNAROLI Stefano
531234,456534,12,531234,D,104,VIGNAROLI Stefano
548409,445854,11,548409,D,104,VIGNAROLI Stefano
463113,454586,10,463113,D,104,VIGNAROLI Stefano
564396,246192,9,564396,D,104,VIGNAROLI Stefano
355700,529074,8,355700,D,104,VIGNAROLI Stefano
593101,320648,7,593101,D,104,VIGNAROLI Stefano
489224,432425,6,489224,D,104,VIGNAROLI Stefano
333462,610136,5,333462,D,104,VIGNAROLI Stefano
277062,1136601,4,277062,D,104,VIGNAROLI Stefano
725182,195080,60,717088,D,103,VALLASCAS Andrea
746372,340515,58,737123,D,103,VALLASCAS Andrea
769285,293060,59,754802,D,103,VALLASCAS Andrea
673778,328807,57,658217,D,103,VALLASCAS Andrea
697914,302279,55,690691,D,103,VALLASCAS Andrea
742864,173302,54,724959,D,103,VALLASCAS Andrea
741775,318928,53,732836,D,103,VALLASCAS Andrea
591848,185774,56,591848,D,103,VALLASCAS Andrea
714374,390021,52,701023,D,103,VALLASCAS Andrea
687417,333851,51,678570,D,103,VALLASCAS Andrea
699584,369588,50,690760,D,103,VALLASCAS Andrea
659731,376087,49,654358,D,103,VALLASCAS Andrea
692093,222295,48,682214,D,103,VALLASCAS Andrea
800522,252461,47,790469,D,103,VALLASCAS Andrea
738640,320201,46,729448,D,103,VALLASCAS Andrea
734016,173299,45,721656,D,103,VALLASCAS Andrea
681879,374423,44,681879,D,103,VALLASCAS Andrea
706897,348738,43,696222,D,103,VALLASCAS Andrea
557260,327206,42,548937,D,103,VALLASCAS Andrea
713752,328384,41,710869,D,103,VALLASCAS Andrea
702638,662871,40,691893,D,103,VALLASCAS Andrea
653095,339408,39,650523,D,103,VALLASCAS Andrea
547577,391269,38,542338,D,103,VALLASCAS Andrea
539744,358678,37,530546,D,103,VALLASCAS Andrea
598153,340962,36,588774,D,103,VALLASCAS Andrea
659897,326135,35,650938,D,103,VALLASCAS Andrea
780802,289360,34,773396,D,103,VALLASCAS Andrea
705523,173654,33,690421,D,103,VALLASCAS Andrea
747062,276974,32,747062,D,103,VALLASCAS Andrea
713235,339713,31,706871,D,103,VALLASCAS Andrea
695346,235159,30,684417,D,103,VALLASCAS Andrea
722530,346635,29,711776,D,103,VALLASCAS Andrea
712314,378042,28,702003,D,103,VALLASCAS Andrea
732785,335211,27,719717,D,103,VALLASCAS Andrea
638609,361904,26,621512,D,103,VALLASCAS Andrea
563415,346425,25,556985,D,103,VALLASCAS Andrea
677656,305330,24,662036,D,103,VALLASCAS Andrea
710664,289649,23,693188,D,103,VALLASCAS Andrea
723020,344011,22,713045,D,103,VALLASCAS Andrea
748886,344141,21,728647,D,103,VALLASCAS Andrea
590666,376612,20,590666,D,103,VALLASCAS Andrea
782067,430437,19,773647,D,103,VALLASCAS Andrea
713533,341456,18,705513,D,103,VALLASCAS Andrea
420397,342099,17,402167,D,103,VALLASCAS Andrea
754689,689061,16,736619,D,103,VALLASCAS Andrea
520038,338906,15,504598,D,103,VALLASCAS Andrea
643718,500813,14,628978,D,103,VALLASCAS Andrea
582141,1073905,13,570691,D,103,VALLASCAS Andrea
581353,272724,12,581353,D,103,VALLASCAS Andrea
608277,335809,11,608277,D,103,VALLASCAS Andrea
636099,308740,10,636099,D,103,VALLASCAS Andrea
610109,340918,9,610109,D,103,VALLASCAS Andrea
450226,402411,8,450226,D,103,VALLASCAS Andrea
650895,278575,7,650895,D,103,VALLASCAS Andrea
622105,328643,6,622105,D,103,VALLASCAS Andrea
719307,181747,5,719307,D,103,VALLASCAS Andrea
1032928,397385,4,1032928,D,103,VALLASCAS Andrea
,,60,,D,102,VALENTE Simone
,,59,,D,102,VALENTE Simone
953222,175748,58,945336,D,102,VALENTE Simone
771449,158724,57,759234,D,102,VALENTE Simone
890668,413257,52,883504,D,102,VALENTE Simone
694931,181027,51,690561,D,102,VALENTE Simone
752777,167170,54,748081,D,102,VALENTE Simone
577365,145299,56,577365,D,102,VALENTE Simone
581332,269767,53,576137,D,102,VALENTE Simone
719552,364068,50,712891,D,102,VALENTE Simone
976276,145299,55,966394,D,102,VALENTE Simone
822544,298827,49,821010,D,102,VALENTE Simone
807515,256951,48,802574,D,102,VALENTE Simone
1052179,260843,47,1046571,D,102,VALENTE Simone
880952,207343,46,878321,D,102,VALENTE Simone
597958,143410,45,591221,D,102,VALENTE Simone
462416,143410,44,462416,D,102,VALENTE Simone
654444,150989,43,651328,D,102,VALENTE Simone
830753,160791,42,828450,D,102,VALENTE Simone
662497,301471,41,659257,D,102,VALENTE Simone
719774,276018,40,714769,D,102,VALENTE Simone
699407,223306,39,696548,D,102,VALENTE Simone
715655,266286,38,710683,D,102,VALENTE Simone
751001,313497,37,749908,D,102,VALENTE Simone
661233,300699,36,659149,D,102,VALENTE Simone
742830,279210,35,739180,D,102,VALENTE Simone
768024,303538,34,767324,D,102,VALENTE Simone
799179,215000,33,797629,D,102,VALENTE Simone
708883,257709,32,708883,D,102,VALENTE Simone
614839,170819,31,614839,D,102,VALENTE Simone
671767,170884,30,670049,D,102,VALENTE Simone
671991,170819,29,668701,D,102,VALENTE Simone
884307,170619,28,883017,D,102,VALENTE Simone
797652,170819,27,793448,D,102,VALENTE Simone
793637,199039,26,791197,D,102,VALENTE Simone
780578,199038,25,779028,D,102,VALENTE Simone
695331,197888,24,694881,D,102,VALENTE Simone
618485,173800,23,616418,D,102,VALENTE Simone
1085118,173812,22,1082568,D,102,VALENTE Simone
878460,173812,21,873326,D,102,VALENTE Simone
777980,173812,20,777980,D,102,VALENTE Simone
967915,173812,19,964355,D,102,VALENTE Simone
823360,173812,18,820380,D,102,VALENTE Simone
749789,173812,17,746669,D,102,VALENTE Simone
1026533,1023561,16,1023403,D,102,VALENTE Simone
745690,240805,15,737490,D,102,VALENTE Simone
767115,458580,14,762385,D,102,VALENTE Simone
800162,1039046,13,793422,D,102,VALENTE Simone
824151,293839,12,824151,D,102,VALENTE Simone
743893,273529,11,743893,D,102,VALENTE Simone
721641,289357,10,721641,D,102,VALENTE Simone
697844,283055,9,697844,D,102,VALENTE Simone
625238,352061,8,625238,D,102,VALENTE Simone
520523,291773,7,520523,D,102,VALENTE Simone
524656,200679,6,524656,D,102,VALENTE Simone
227621,320578,5,227621,D,102,VALENTE Simone
377151,433065,4,377151,D,102,VALENTE Simone
,,60,,D,101,VACCA Gianluca
,,59,,D,101,VACCA Gianluca
,,58,,D,101,VACCA Gianluca
810000,173801,57,810000,D,101,VACCA Gianluca
823600,144605,56,823600,D,101,VACCA Gianluca
901754,187077,53,898418,D,101,VACCA Gianluca
728446,258258,49,722997,D,101,VACCA Gianluca
916117,144605,54,909200,D,101,VACCA Gianluca
843365,212694,51,828519,D,101,VACCA Gianluca
853209,216921,52,840625,D,101,VACCA Gianluca
795067,165605,55,782500,D,101,VACCA Gianluca
780516,398012,50,771023,D,101,VACCA Gianluca
617380,286343,48,612339,D,101,VACCA Gianluca
808332,167789,47,799795,D,101,VACCA Gianluca
872204,270312,46,864371,D,101,VACCA Gianluca
821235,223622,45,805396,D,101,VACCA Gianluca
687643,313158,44,687643,D,101,VACCA Gianluca
726082,403590,43,718170,D,101,VACCA Gianluca
660023,206886,42,649958,D,101,VACCA Gianluca
649631,167797,41,646281,D,101,VACCA Gianluca
665630,393204,40,650327,D,101,VACCA Gianluca
639222,169597,39,628782,D,101,VACCA Gianluca
637975,305818,38,629268,D,101,VACCA Gianluca
623788,194971,37,616790,D,101,VACCA Gianluca
776534,182321,36,766746,D,101,VACCA Gianluca
901735,167615,35,890827,D,101,VACCA Gianluca
1529765,167630,34,1521114,D,101,VACCA Gianluca
740131,240600,33,725633,D,101,VACCA Gianluca
613953,255899,32,613953,D,101,VACCA Gianluca
757064,167696,31,746377,D,101,VACCA Gianluca
597407,316631,30,590837,D,101,VACCA Gianluca
739635,226596,29,726763,D,101,VACCA Gianluca
761930,294380,28,752390,D,101,VACCA Gianluca
689505,256396,27,679715,D,101,VACCA Gianluca
713255,318095,26,700105,D,101,VACCA Gianluca
816440,277951,25,809480,D,101,VACCA Gianluca
571510,250170,24,564040,D,101,VACCA Gianluca
780700,171804,23,766352,D,101,VACCA Gianluca
915310,241124,22,905213,D,101,VACCA Gianluca
843142,151743,21,825516,D,101,VACCA Gianluca
552645,363484,20,552645,D,101,VACCA Gianluca
700906,331205,19,690116,D,101,VACCA Gianluca
664438,328704,18,656538,D,101,VACCA Gianluca
669502,310769,17,659172,D,101,VACCA Gianluca
686317,747859,16,671867,D,101,VACCA Gianluca
609980,319644,15,599010,D,101,VACCA Gianluca
666681,497125,14,658081,D,101,VACCA Gianluca
661480,781222,13,653320,D,101,VACCA Gianluca
490708,333042,12,490708,D,101,VACCA Gianluca
627205,326607,11,627205,D,101,VACCA Gianluca
621579,341063,10,621579,D,101,VACCA Gianluca
624172,346180,9,624172,D,101,VACCA Gianluca
468123,464233,8,468123,D,101,VACCA Gianluca
656878,236854,7,656878,D,101,VACCA Gianluca
665633,344587,6,665633,D,101,VACCA Gianluca
624848,307946,5,624848,D,101,VACCA Gianluca
710647,773870,4,710647,D,101,VACCA Gianluca
,,60,,D,99,TRIPIEDI Davide
,,59,,D,99,TRIPIEDI Davide
,,58,,D,99,TRIPIEDI Davide
,,57,,D,99,TRIPIEDI Davide
666505,311661,56,666505,D,99,TRIPIEDI Davide
618419,182905,54,612468,D,99,TRIPIEDI Davide
664151,519287,55,658786,D,99,TRIPIEDI Davide
622907,618691,52,617835,D,99,TRIPIEDI Davide
727026,311139,50,725335,D,99,TRIPIEDI Davide
630778,182905,53,624051,D,99,TRIPIEDI Davide
852907,288455,48,850596,D,99,TRIPIEDI Davide
599415,265851,51,597798,D,99,TRIPIEDI Davide
765678,428591,49,765678,D,99,TRIPIEDI Davide
631247,251783,47,629554,D,99,TRIPIEDI Davide
541365,578896,46,538150,D,99,TRIPIEDI Davide
672579,282140,45,669521,D,99,TRIPIEDI Davide
414042,369452,44,414042,D,99,TRIPIEDI Davide
687745,529560,43,685827,D,99,TRIPIEDI Davide
687932,190902,42,685972,D,99,TRIPIEDI Davide
630711,218295,41,627728,D,99,TRIPIEDI Davide
617564,916052,40,612929,D,99,TRIPIEDI Davide
625687,230761,39,621029,D,99,TRIPIEDI Davide
583963,297617,38,580928,D,99,TRIPIEDI Davide
663564,496237,37,659527,D,99,TRIPIEDI Davide
591212,270577,36,588378,D,99,TRIPIEDI Davide
641276,229516,35,639530,D,99,TRIPIEDI Davide
775825,337922,34,773860,D,99,TRIPIEDI Davide
865500,266628,33,859138,D,99,TRIPIEDI Davide
471819,244855,32,471819,D,99,TRIPIEDI Davide
497374,485631,31,493630,D,99,TRIPIEDI Davide
592081,243793,30,586296,D,99,TRIPIEDI Davide
672826,184461,29,666299,D,99,TRIPIEDI Davide
717489,722072,28,715327,D,99,TRIPIEDI Davide
653894,309430,27,647589,D,99,TRIPIEDI Davide
634674,313771,26,630220,D,99,TRIPIEDI Davide
592531,556965,25,590580,D,99,TRIPIEDI Davide
707697,305495,24,702885,D,99,TRIPIEDI Davide
618678,198848,23,612720,D,99,TRIPIEDI Davide
604190,783010,22,604190,D,99,TRIPIEDI Davide
507631,157283,21,502432,D,99,TRIPIEDI Davide
482982,354467,20,482982,D,99,TRIPIEDI Davide
612914,64942,19,603264,D,99,TRIPIEDI Davide
587559,303452,18,583159,D,99,TRIPIEDI Davide
675591,294913,17,667941,D,99,TRIPIEDI Davide
634476,578649,16,626226,D,99,TRIPIEDI Davide
604774,277468,15,597774,D,99,TRIPIEDI Davide
695611,499667,14,687411,D,99,TRIPIEDI Davide
680179,631647,13,675329,D,99,TRIPIEDI Davide
606762,285034,12,606762,D,99,TRIPIEDI Davide
549852,299674,11,549852,D,99,TRIPIEDI Davide
627145,257013,10,627145,D,99,TRIPIEDI Davide
572010,309448,9,572010,D,99,TRIPIEDI Davide
471866,351871,8,471866,D,99,TRIPIEDI Davide
362821,196248,7,362821,D,99,TRIPIEDI Davide
814953,196248,6,814953,D,99,TRIPIEDI Davide
180276,551140,5,180276,D,99,TRIPIEDI Davide
317026,847053,4,317026,D,99,TRIPIEDI Davide
,,60,,D,98,TONINELLI Danilo
,,59,,D,98,TONINELLI Danilo
898856,168060,58,891999,D,98,TONINELLI Danilo
861108,199945,57,850197,D,98,TONINELLI Danilo
829309,192930,50,818104,D,98,TONINELLI Danilo
884619,199944,52,869113,D,98,TONINELLI Danilo
826617,192930,49,818455,D,98,TONINELLI Danilo
662269,199944,56,662269,D,98,TONINELLI Danilo
820587,199944,55,809744,D,98,TONINELLI Danilo
854784,193230,48,851592,D,98,TONINELLI Danilo
805217,168060,51,793026,D,98,TONINELLI Danilo
933069,199944,54,920471,D,98,TONINELLI Danilo
816124,199944,53,806802,D,98,TONINELLI Danilo
864255,168175,47,857683,D,98,TONINELLI Danilo
805070,168191,46,798764,D,98,TONINELLI Danilo
1092034,199618,45,1076532,D,98,TONINELLI Danilo
755388,199619,44,755388,D,98,TONINELLI Danilo
850058,199619,43,839419,D,98,TONINELLI Danilo
867836,199619,42,857304,D,98,TONINELLI Danilo
843949,199619,41,835461,D,98,TONINELLI Danilo
906081,383581,40,888130,D,98,TONINELLI Danilo
867692,168191,39,850800,D,98,TONINELLI Danilo
716732,216065,38,705485,D,98,TONINELLI Danilo
794246,193230,37,782971,D,98,TONINELLI Danilo
577606,181552,36,565340,D,98,TONINELLI Danilo
853201,173953,35,841545,D,98,TONINELLI Danilo
969330,173964,34,956733,D,98,TONINELLI Danilo
786934,206459,33,762249,D,98,TONINELLI Danilo
612688,206458,32,612688,D,98,TONINELLI Danilo
824897,216458,31,814324,D,98,TONINELLI Danilo
800035,262883,30,792131,D,98,TONINELLI Danilo
972511,206458,29,962200,D,98,TONINELLI Danilo
867766,273148,28,858700,D,98,TONINELLI Danilo
922825,173964,27,911400,D,98,TONINELLI Danilo
847139,299592,26,836322,D,98,TONINELLI Danilo
757380,254257,25,753425,D,98,TONINELLI Danilo
754842,222139,24,745303,D,98,TONINELLI Danilo
741277,99768,23,727944,D,98,TONINELLI Danilo
914638,372348,22,902064,D,98,TONINELLI Danilo
682275,122481,21,667344,D,98,TONINELLI Danilo
615232,447547,20,615232,D,98,TONINELLI Danilo
668295,95335,19,657995,D,98,TONINELLI Danilo
792020,174623,18,781400,D,98,TONINELLI Danilo
812224,244714,17,795704,D,98,TONINELLI Danilo
859249,1443637,16,837639,D,98,TONINELLI Danilo
674250,276228,15,655370,D,98,TONINELLI Danilo
604860,452975,14,590810,D,98,TONINELLI Danilo
646496,440929,13,629076,D,98,TONINELLI Danilo
629954,305733,12,629954,D,98,TONINELLI Danilo
612241,315694,11,612241,D,98,TONINELLI Danilo
639439,209814,10,639439,D,98,TONINELLI Danilo
783594,192211,9,783594,D,98,TONINELLI Danilo
621072,321822,8,621072,D,98,TONINELLI Danilo
937914,192603,7,937914,D,98,TONINELLI Danilo
570765,373043,6,570765,D,98,TONINELLI Danilo
320695,359952,5,320695,D,98,TONINELLI Danilo
378139,590499,4,378139,D,98,TONINELLI Danilo
742866,198388,60,736336,D,97,TOFALO Angelo
796173,169601,59,786700,D,97,TOFALO Angelo
1098509,169614,58,1088800,D,97,TOFALO Angelo
951379,169614,57,936217,D,97,TOFALO Angelo
852288,169614,55,839119,D,97,TOFALO Angelo
895052,168814,54,886094,D,97,TOFALO Angelo
870447,259648,53,865550,D,97,TOFALO Angelo
713238,199339,56,713238,D,97,TOFALO Angelo
726634,206223,51,723000,D,97,TOFALO Angelo
753845,226280,52,747500,D,97,TOFALO Angelo
730820,321490,50,725210,D,97,TOFALO Angelo
887701,291513,49,882228,D,97,TOFALO Angelo
731624,198388,48,726700,D,97,TOFALO Angelo
909611,230181,47,904211,D,97,TOFALO Angelo
708252,169614,46,702276,D,97,TOFALO Angelo
733979,169614,45,727384,D,97,TOFALO Angelo
1048350,169614,44,1048350,D,97,TOFALO Angelo
687323,313892,43,678562,D,97,TOFALO Angelo
830363,251199,42,821730,D,97,TOFALO Angelo
708456,230014,41,699182,D,97,TOFALO Angelo
672203,517805,40,664050,D,97,TOFALO Angelo
650549,260396,39,645630,D,97,TOFALO Angelo
711164,280557,38,704797,D,97,TOFALO Angelo
710000,209656,37,704430,D,97,TOFALO Angelo
802086,185238,36,799496,D,97,TOFALO Angelo
729632,250819,35,720687,D,97,TOFALO Angelo
826312,292299,34,821950,D,97,TOFALO Angelo
729637,243561,33,718390,D,97,TOFALO Angelo
649909,211465,32,649909,D,97,TOFALO Angelo
733038,170350,31,729716,D,97,TOFALO Angelo
838063,170350,30,835463,D,97,TOFALO Angelo
787524,273768,29,780660,D,97,TOFALO Angelo
794439,491752,28,781018,D,97,TOFALO Angelo
786206,239292,27,776383,D,97,TOFALO Angelo
734196,319237,26,722282,D,97,TOFALO Angelo
740794,327685,25,735141,D,97,TOFALO Angelo
715681,269768,24,707294,D,97,TOFALO Angelo
736154,539896,23,721889,D,97,TOFALO Angelo
690292,141640,22,677681,D,97,TOFALO Angelo
699731,345851,21,686995,D,97,TOFALO Angelo
710083,351080,20,710083,D,97,TOFALO Angelo
600999,501937,19,591939,D,97,TOFALO Angelo
570764,338224,18,560874,D,97,TOFALO Angelo
592415,338028,17,577515,D,97,TOFALO Angelo
639956,1585716,16,621236,D,97,TOFALO Angelo
530856,337029,15,512386,D,97,TOFALO Angelo
605358,542858,14,588068,D,97,TOFALO Angelo
561352,965132,13,545182,D,97,TOFALO Angelo
548587,350111,12,548587,D,97,TOFALO Angelo
576843,359598,11,576843,D,97,TOFALO Angelo
633315,301755,10,633315,D,97,TOFALO Angelo
553296,348668,9,553296,D,97,TOFALO Angelo
434557,415078,8,434557,D,97,TOFALO Angelo
692725,232209,7,692725,D,97,TOFALO Angelo
693967,222271,6,693967,D,97,TOFALO Angelo
631800,201543,5,631800,D,97,TOFALO Angelo
295950,629986,4,295950,D,97,TOFALO Angelo
,,60,,D,96,TERZONI Patrizia
